Entity,Label
Canaanites,NORP
Sidon,GPE
Gerar  unto,PERSON
Gaza,GPE
thou goest  unto,PERSON
Gomorrah,ORG
Admah,ORG
Lasha,PERSON
10 20,DATE
Ham,ORG
10 21,DATE
Unto Shem,PERSON
Eber,PERSON
Japheth,PERSON
10 22,DATE
Shem  Elam,PERSON
Asshur,ORG
Arphaxad,ORG
Lud,ORG
Aram,PERSON
10 23,DATE
Aram  Uz  and,PERSON
Mash,ORG
10 24,DATE
Arphaxad,ORG
Salah  ,PERSON
Salah begat Eber,PERSON
10 25,DATE
Eber,PERSON
two,CARDINAL
one,CARDINAL
Peleg,PERSON
his days,DATE
Joktan,GPE
10 26,DATE
Joktan,GPE
Almodad,GPE
Sheleph,PERSON
Hazarmaveth,GPE
Jerah,GPE
10 27,DATE
Hadoram,ORG
Uzal,ORG
Diklah,ORG
10 28,DATE
Obal  and,PERSON
Abimael,PERSON
Sheba,PERSON
10 29,DATE
Ophir,GPE
Havilah,ORG
Jobab,ORG
Joktan,GPE
10 30,DATE
Mesha,PERSON
thou goest,PERSON
Sephar,PERSON
10 31,CARDINAL
Shem,PERSON
10 32,CARDINAL
Noah,PERSON
11 1,DATE
one,CARDINAL
one,CARDINAL
11 2,DATE
Shinar,ORG
11 3,DATE
one,CARDINAL
11 5,DATE
11 6,DATE
one,CARDINAL
11 7 Go,WORK_OF_ART
11 8,DATE
11 9,DATE
Babel,PRODUCT
11 10,CARDINAL
Shem  Shem,PERSON
an hundred years  old,DATE
Arphaxad,ORG
two years,DATE
11 11,DATE
Shem  ,PERSON
Arphaxad,ORG
five hundred years  ,DATE
11 12,DATE
Arphaxad,ORG
five and thirty years  and,DATE
Salah  11,PERSON
Arphaxad,ORG
four hundred and,CARDINAL
11 14,DATE
Salah,PERSON
thirty years,DATE
Eber,PERSON
11 15,DATE
Salah  ,PERSON
Eber,PERSON
four hundred and three years,DATE
11 16,DATE
Eber,PERSON
four and thirty years  ,DATE
Peleg,PERSON
11 17,DATE
Eber,PERSON
Peleg,PERSON
four hundred and thirty years,DATE
11 18,DATE
Peleg,PERSON
thirty years,DATE
Reu  11 19,PRODUCT
Peleg,PERSON
Reu two hundred and nine years  ,PRODUCT
11 20,DATE
Reu,NORP
two and thirty years  ,DATE
Serug,ORG
11 21,CARDINAL
Reu,NORP
Serug,ORG
11 22,DATE
Serug,ORG
thirty years,DATE
11 23,DATE
Serug,ORG
two hundred years  ,DATE
11 24,DATE
Nahor,PERSON
nine and twenty years,DATE
Terah,GPE
11,CARDINAL
Nahor,PERSON
Terah,GPE
11 26,DATE
Terah,GPE
seventy years,DATE
Abram  Nahor,PERSON
Haran,NORP
11 27,DATE
Terah,GPE
Nahor,PERSON
Haran,NORP
Haran,NORP
11 28,DATE
Haran,PERSON
Terah,PERSON
11 29,DATE
Abram,PERSON
Nahor,PERSON
Abram,PERSON
Sarai,PERSON
Nahor,PERSON
Milcah,PERSON
Haran,PERSON
Milcah,PERSON
Iscah,NORP
11 30,DATE
Sarai,PERSON
11 31,DATE
Terah,PERSON
Abram,PERSON
Haran,PERSON
Sarai,PERSON
Abram,PERSON
Chaldees,NORP
Canaan,GPE
Haran,NORP
11 32,DATE
Terah,GPE
two hundred and five years,DATE
Terah,ORG
Haran,LOC
12 1,DATE
Abram  Get,PERSON
12 2,DATE
12 3,DATE
12 4,DATE
Abram,PERSON
Lot,PERSON
Abram,PERSON
seventy and five years old,DATE
Haran,LANGUAGE
12 5,DATE
Abram,PERSON
Sarai,PERSON
Haran,NORP
Canaan,GPE
Canaan,GPE
12 6,DATE
Abram,PERSON
Sichem,ORG
Moreh,ORG
Canaanite,NORP
12 7,DATE
Abram,PERSON
12 8,DATE
Bethel,GPE
Bethel,ORG
Hai,PERSON
12 9,DATE
Abram,PERSON
12 10,DATE
Abram,PERSON
Egypt,GPE
12 11,DATE
Egypt,GPE
Sarai,PERSON
12 12,DATE
Egyptians,NORP
12 14,DATE
Abram,PERSON
Egypt,GPE
Egyptians,NORP
12 15,CARDINAL
Pharaoh,PERSON
Pharaoh,PERSON
Pharaoh,PERSON
12 16,DATE
Abram,PERSON
menservants,PERSON
12 17,DATE
Pharaoh,PERSON
Sarai Abram s,PERSON
12 18,DATE
Pharaoh,PERSON
Abram,PERSON
12 19,DATE
12 20,DATE
Pharaoh,PERSON
13 1,DATE
Abram,PERSON
Egypt,GPE
Lot,PERSON
13 2,DATE
Abram,PERSON
13 3,DATE
Bethel,GPE
Bethel,ORG
first,ORDINAL
Abram,PERSON
13 5,DATE
Abram,PERSON
13 6,DATE
13 7,DATE
Abram,PERSON
Lot s,ORG
Canaanite,NORP
Perizzite,ORG
13 8,DATE
Abram,PERSON
13 9,TIME
13 10,DATE
Jordan,GPE
Gomorrah,PERSON
Egypt,GPE
Zoar,GPE
13 11,DATE
Jordan,GPE
Canaan,GPE
Lot,PERSON
Sodom,GPE
13 13,DATE
Sodom,PERSON
13 14,DATE
Abram,PERSON
Lot,PERSON
13 15,CARDINAL
13 16,DATE
13 18,DATE
Abram,PERSON
Mamre,ORG
Hebron,GPE
14 1,DATE
the days,DATE
Amraphel,PERSON
Shinar   Arioch,ORG
Ellasar,ORG
Elam,PERSON
14 2,DATE
Bera,PERSON
Birsha,GPE
Gomorrah  ,PERSON
Shinab,PERSON
Admah,ORG
Shemeber,ORG
Zeboiim,PERSON
Bela,PERSON
Zoar,GPE
14 3,DATE
Siddim,ORG
14 4,DATE
Twelve years,DATE
Chedorlaomer,PERSON
the thirteenth year,DATE
14 5,DATE
the fourteenth year,DATE
Chedorlaomer,PERSON
Rephaims,PERSON
Ashteroth Karnaim,PERSON
Zuzims,DATE
Shaveh Kiriathaim,PERSON
14 6,DATE
Horites,ORG
Elparan,WORK_OF_ART
14 7,DATE
Enmishpat,PERSON
Kadesh,GPE
Amalekites,NORP
Amorites,ORG
Hazezontamar,GPE
14 8,DATE
Admah,ORG
Zeboiim,PERSON
Bela,PERSON
Zoar,GPE
Siddim,ORG
14 9,DATE
Chedorlaomer,PERSON
Elam,PERSON
Amraphel,PERSON
Shinar,ORG
Arioch,ORG
Ellasar,ORG
four,CARDINAL
five,CARDINAL
14 10,EVENT
Siddim,ORG
Sodom,GPE
Gomorrah,PERSON
14 11,DATE
Sodom,GPE
14 12,DATE
Lot  Abram s,PERSON
Sodom,GPE
14 13,DATE
Abram,PERSON
Hebrew,LANGUAGE
Mamre,GPE
Amorite,PRODUCT
Eshcol,PERSON
Aner,PERSON
Abram,PERSON
14 14,DATE
Abram,PERSON
three hundred,CARDINAL
eighteen,CARDINAL
Dan,PERSON
14 15,DATE
Hobah,PERSON
Damascus,GPE
14 16,DATE
14 17,DATE
Sodom,PERSON
Chedorlaomer,PERSON
Shaveh,ORG
s dale,PERSON
14 18,DATE
Melchizedek king,PERSON
Salem,GPE
14 19,DATE
Abram,PERSON
14 20,DATE
14 21,DATE
Sodom,PERSON
Abram  Give,PERSON
14 22,DATE
Abram,PERSON
Sodom,PERSON
14 23,DATE
shoelatchet,PERSON
Abram,PERSON
14 24 Save,DATE
Aner  Eshcol,PERSON
Mamre,ORG
15 1,CARDINAL
Abram,PERSON
Abram,PERSON
15 2,DATE
Abram,PERSON
Damascus,GPE
15 3,DATE
Abram,PERSON
one,CARDINAL
15 4,DATE
15 5,DATE
15 6,DATE
15 7,DATE
Chaldees,NORP
15 8,DATE
15 9,DATE
three years old,DATE
three years old,DATE
three years old,DATE
15 10,DATE
15 11,DATE
Abram,PERSON
15 12,DATE
Abram,PERSON
15 13,DATE
Abram  Know,PERSON
four hundred years  ,DATE
15 15,DATE
15 16,EVENT
fourth,ORDINAL
Amorites,LOC
15 17,DATE
15 18,DATE
the same day,DATE
Abram,PERSON
Egypt,GPE
Euphrates,ORG
15 19,CARDINAL
Kenizzites,ORG
Kadmonites,ORG
15 20,DATE
Hittites,NORP
Rephaims,PERSON
15 21,DATE
Amorites,ORG
Girgashites,ORG
Jebusites,ORG
16 1,DATE
Sarai Abram,PERSON
Egyptian,NORP
Hagar,PERSON
16 2,DATE
Sarai,PERSON
Abram  ,PERSON
Abram,PERSON
Sarai,PERSON
16 3,DATE
Sarai Abram s,PERSON
Hagar,PERSON
Egyptian,NORP
Abram,PERSON
ten years,DATE
Canaan,GPE
Abram,PERSON
16 4,DATE
Hagar,PERSON
16 5,DATE
Sarai,PERSON
Abram,PERSON
16 6,DATE
Abram,PERSON
Sarai  Behold,PERSON
Sarai,PERSON
16 7,DATE
Shur,ORG
16 8,DATE
Hagar  Sarai s,ORG
Sarai,PERSON
16 9,DATE
16 10,DATE
16 11,DATE
Ishmael,PERSON
16 12,DATE
16 13,DATE
16 14,DATE
Beerlahairoi,PERSON
Kadesh,GPE
Bered,PRODUCT
16 15,DATE
Hagar,PERSON
Abram,PERSON
Abram,PERSON
Hagar,PERSON
Ishmael,PERSON
16 16,DATE
Abram,PERSON
six years old,DATE
Hagar,PERSON
Ishmael,PERSON
Abram,PERSON
17 1,DATE
Abram,PERSON
ninety years old,DATE
nine,CARDINAL
Abram,PERSON
17 2,DATE
17 3,DATE
Abram,PERSON
17,CARDINAL
17 5,CARDINAL
Abram,PERSON
Abraham,PERSON
17 6,DATE
17 7,DATE
17 8,DATE
Canaan,GPE
17 9,DATE
Abraham  Thou,PERSON
17 10,DATE
17 11,DATE
17 12,DATE
eight days old,DATE
17 13,DATE
17 14,DATE
17 15,DATE
Abraham,PERSON
Sarai,PERSON
Sarai,PERSON
Sarah,PERSON
17 16,DATE
17 17,EVENT
Abraham,PERSON
an hundred years old,DATE
Sarah,PERSON
ninety years old,DATE
17 18,DATE
Abraham,PERSON
Ishmael,PERSON
17 19,DATE
Sarah,PERSON
Isaac,PERSON
17 20,DATE
Ishmael,PERSON
twelve,CARDINAL
17 21,DATE
Isaac  ,PERSON
Sarah,PERSON
the next year,DATE
17 22,DATE
Abraham,PERSON
17 23,DATE
Abraham,PERSON
Ishmael,PERSON
Abraham,PERSON
17 24,DATE
Abraham,PERSON
ninety years old,DATE
nine,CARDINAL
17 25,DATE
Ishmael,PERSON
thirteen years old,DATE
17 26,DATE
the selfsame day,DATE
Abraham,PERSON
Ishmael,PERSON
17 27,DATE
18 1,DATE
Mamre,ORG
three,CARDINAL
18 3,DATE
18 4,DATE
18 5,DATE
18 6,DATE
Abraham,PERSON
Sarah,PERSON
three,CARDINAL
18 7,DATE
Abraham,PERSON
18 8,DATE
18 9,DATE
Sarah,PERSON
18 10,DATE
lo  Sarah,PERSON
Sarah,PERSON
18 11,DATE
Abraham,PERSON
Sarah,PERSON
Sarah,PERSON
18 12,DATE
Sarah,PERSON
18 13,DATE
Abraham,PERSON
Sarah,PERSON
18 14,DATE
Sarah,PERSON
18 15,DATE
Sarah,PERSON
Nay,PERSON
18 16,DATE
Abraham,PERSON
18 17,DATE
Abraham,PERSON
18 18,DATE
Abraham,PERSON
18 19,DATE
Abraham,PERSON
18 20,DATE
Sodom,GPE
Gomorrah,PERSON
18 21,DATE
18 22,DATE
Abraham,PERSON
18 23,DATE
Abraham,PERSON
Wilt thou,PERSON
18 24,DATE
fifty,CARDINAL
fifty,CARDINAL
18 25,DATE
18 26,DATE
fifty,CARDINAL
18 27,DATE
Abraham,PERSON
18 28  Peradventure,DATE
five,CARDINAL
fifty,CARDINAL
five,CARDINAL
forty,DATE
five,CARDINAL
18 29,DATE
Peradventure,PERSON
forty,DATE
forty,CARDINAL
18 30,DATE
Peradventure,PERSON
thirty,CARDINAL
18 31,DATE
twenty,CARDINAL
18 32,DATE
Peradventure,PERSON
ten,CARDINAL
18 33,DATE
Abraham,PERSON
Abraham,PERSON
19 1,DATE
two,CARDINAL
Lot,PERSON
19 2,DATE
Nay,PERSON
19 4,DATE
every quarter,DATE
19 6,DATE
19 7,DATE
19 8 Behold,DATE
two,CARDINAL
19 9,DATE
19 10,DATE
19 11,DATE
19 12,DATE
Lot  Hast,PERSON
19 13,DATE
19 14,DATE
19 15,DATE
the morning,TIME
Arise,PERSON
two,CARDINAL
19 16,DATE
two,CARDINAL
19 17,DATE
19 18,DATE
19 19,DATE
19 20  ,DATE
19 21,DATE
19 22,DATE
Zoar,GPE
19 23,TIME
Zoar,GPE
19 24,DATE
19 25,DATE
19 26,DATE
19 27,DATE
Abraham gat,PERSON
early in the morning,TIME
19 28,DATE
Sodom,GPE
Gomorrah,GPE
19 29,DATE
Abraham,PERSON
19 30,DATE
Zoar,GPE
two,CARDINAL
Zoar,GPE
two,CARDINAL
19 31,DATE
19,CARDINAL
19 33,DATE
19 34,DATE
morrow,DATE
this night,TIME
19 35,DATE
19 36,DATE
19 37,DATE
first,ORDINAL
Moab,GPE
Moabites,NORP
19 38,DATE
Benammi,PERSON
Ammon,NORP
this  day,DATE
20 1,DATE
Abraham,PERSON
Kadesh,GPE
Shur,ORG
Gerar,ORG
20 2,DATE
Abraham,PERSON
Sarah,PERSON
Abimelech,PERSON
Gerar,PERSON
Sarah,PERSON
20 3,DATE
Abimelech,PERSON
night,TIME
20 4,DATE
Abimelech,PERSON
20,CARDINAL
20 6,DATE
20 7 Now,EVENT
20 8,DATE
Abimelech,PERSON
early in the morning,TIME
20 9,DATE
Abimelech,PERSON
Abraham,PERSON
20 10,DATE
Abimelech,PERSON
Abraham,PERSON
20 11,DATE
Abraham,PERSON
20 12,DATE
20 13,DATE
20 14,DATE
Abimelech,PERSON
menservants,PERSON
Abraham,PERSON
Sarah,PERSON
20 15,DATE
Abimelech,PERSON
20 16,DATE
Sarah,PERSON
20 17,DATE
Abraham,PERSON
Abimelech,PERSON
20 18,DATE
Abimelech,ORG
Sarah Abraham s,PERSON
21 1,DATE
Sarah,PERSON
Sarah,PERSON
21 2,DATE
Sarah,PERSON
Abraham,PERSON
21 3,DATE
Abraham,PERSON
Sarah,PERSON
Isaac,PERSON
21 4,DATE
Abraham,PERSON
Isaac,PERSON
eight days old,DATE
21 5,DATE
Abraham,PERSON
an hundred years old,DATE
Isaac,PERSON
21 6,DATE
Sarah,PERSON
21 7,DATE
Abraham,PERSON
Sarah,PERSON
21 8,DATE
Abraham,PERSON
the same day,DATE
Isaac,PERSON
21 9,DATE
Sarah,PERSON
Hagar,PERSON
Egyptian,NORP
Abraham,PERSON
21 10,DATE
Abraham  Cast,PERSON
Isaac,PERSON
21 11,DATE
Abraham,PERSON
21 12,DATE
Abraham,PERSON
bondwoman,PERSON
Sarah  hath,PERSON
Isaac,PERSON
21 13,DATE
bondwoman,PERSON
21 14,DATE
Abraham,PERSON
early in the,TIME
morning,TIME
Hagar,PERSON
Beersheba,GPE
21 15,DATE
21 16,DATE
21 17,DATE
God,PERSON
Hagar,PERSON
Hagar,PERSON
21 19,DATE
21 20,DATE
21 21,DATE
Paran,LANGUAGE
Egypt,GPE
21 22,DATE
Abimelech,PERSON
Phichol,ORG
Abraham,PERSON
21 23,DATE
21 24,DATE
Abraham,PERSON
21 25,DATE
Abraham,PERSON
Abimelech,PERSON
Abimelech,ORG
21 26,DATE
Abimelech,PERSON
21 27,DATE
Abraham,PERSON
Abimelech,PERSON
21 28,DATE
Abraham,PERSON
seven,CARDINAL
ewe,ORG
21 29,DATE
Abimelech,PERSON
Abraham,PERSON
seven,CARDINAL
ewe,ORG
21 30,DATE
seven,CARDINAL
ewe,ORG
21 31,DATE
Beersheba,PERSON
21 32,DATE
Beersheba,GPE
Abimelech,PERSON
Phichol,ORG
Philistines,NORP
21 33,DATE
Abraham,PERSON
Beersheba,GPE
21 34,DATE
Abraham,PERSON
Philistines,NORP
many days,DATE
22 1,DATE
Abraham,PERSON
Abraham,PERSON
22 2,DATE
Isaac  ,PERSON
Moriah,ORG
22 3,DATE
Abraham,PERSON
early in the,TIME
morning,TIME
two,CARDINAL
Isaac,PERSON
22 4,DATE
the third day,DATE
Abraham,PERSON
22 5,DATE
Abraham,PERSON
22 6,DATE
Abraham,PERSON
Isaac,PERSON
22 7,DATE
Isaac spake,PERSON
Abraham,PERSON
22 8,DATE
Abraham,PERSON
22 9,DATE
Abraham  ,PERSON
Isaac,PERSON
22 10,DATE
Abraham,PERSON
22 11,DATE
Abraham  Abraham,PERSON
22 12,DATE
22 13,DATE
Abraham,PERSON
Abraham,PERSON
22 14,DATE
